range_counter, time, receiver_id, requester_position[1], requester_position[2], requester_position[3], receiver_position[1], receiver_position[2], receiver_position[3], range, true_range
12, 1.606695111999918e9, 2, -1.0067089862382056e6, -295791.48512712924, 6.850338614085772e6, -1.0068307915954806e6, -295697.62239361467, 6.850341981955686e6, 154.1367974529992, 153.81189925193885
12, 1.606695111999918e9, 3, -1.0067089862382056e6, -295791.48512712924, 6.850338614085772e6, -1.0068000164639857e6, -295844.88131000014, 6.850293468798832e6, 114.96148489940948, 114.7856754288437
12, 1.606695111999918e9, 4, -1.0067089862382056e6, -295791.48512712924, 6.850338614085772e6, -1.0069067194753069e6, -295719.9657466071, 6.8502219174120715e6, 240.4911228195033, 240.48195046121148
13, 1.606695171999918e9, 2, -1.1442274861602837e6, 141939.77916948075, 6.833986205537657e6, -1.1443563386858806e6, 142040.29686912036, 6.833989488789877e6, 164.85649918662898, 163.4550734565742
13, 1.606695171999918e9, 3, -1.1442274861602837e6, 141939.77916948075, 6.833986205537657e6, -1.1443243823389008e6, 141883.61872972263, 6.833936713478986e6, 120.68924196419614, 122.44316353285177
13, 1.606695171999918e9, 4, -1.1442274861602837e6, 141939.77916948075, 6.833986205537657e6, -1.1444367743145581e6, 142018.04019410178, 6.833856050418346e6, 259.81234724765216, 258.58591333871874
14, 1.606695231999918e9, 2, -1.2730304590352548e6, 580230.6147484523, 6.788261020644926e6, -1.2731658084915942e6, 580337.4259321009, 6.788264542251134e6, 170.58609593853214, 172.45435916222849
14, 1.606695231999918e9, 3, -1.2730304590352548e6, 580230.6147484523, 6.788261020644926e6, -1.2731327582986732e6, 580171.9691325928, 6.788206962625497e6, 129.51206375923942, 129.71783616769656
14, 1.606695231999918e9, 4, -1.2730304590352548e6, 580230.6147484523, 6.788261020644926e6, -1.2732501558286399e6, 580315.354365322, 6.7881167955750935e6, 276.61588013621304, 276.13104580792015
15, 1.606695291999918e9, 2, -1.392572274087928e6, 1.0171322429474961e6, 6.713361549804962e6, -1.3927135771198233e6, 1.0172449869710511e6, 6.713365763338139e6, 182.60235389780317, 180.81901319275565
15, 1.606695291999918e9, 3, -1.392572274087928e6, 1.0171322429474961e6, 6.713361549804962e6, -1.392679467897833e6, 1.0170713639109165e6, 6.713302664954493e6, 135.36459007801025, 136.61696670486475
15, 1.606695291999918e9, 4, -1.392572274087928e6, 1.0171322429474961e6, 6.713361549804962e6, -1.3928011657054778e6, 1.017223083517363e6, 6.713202690546093e6, 295.3722084851191, 293.0522920007941
16, 1.606695351999918e9, 2, -1.5023636643716577e6, 1.450697341717082e6, 6.6096103018032145e6, -1.5025103939422094e6, 1.4508156813022185e6, 6.609615798426282e6, 188.25890531787635, 188.58429719810687
16, 1.606695351999918e9, 3, -1.5023636643716577e6, 1.450697341717082e6, 6.6096103018032145e6, -1.5024751989214893e6, 1.4506344454714276e6, 6.609546288540953e6, 143.2962464135599, 143.15582862373608
