range_counter,time,requester_id,requester_position_x,requester_position_y,requester_position_z,requester_velocity_x,requester_velocity_y,requester_velocity_z,receiver_id,receiver_position_x,receiver_position_y,receiver_position_z,range_measurement,true_range
13,1.606695171999918e9,2,-1.144359517858191e6,141991.75192923128,6.834051911660247e6,-2221.066957036098,7305.6454391671705,-517.5712070308778,3,-1.1445175079464507e6,141884.44994153545,6.833954898302461e6,212.985734045096,214.21058830188278
13,1.606695171999918e9,2,-1.144359517858191e6,141991.75192923128,6.834051911660247e6,-2221.066957036098,7305.6454391671705,-517.5712070308778,4,-1.1445133264393185e6,141904.21479496558,6.834077015068881e6,179.8585254560622,178.74565904939115
14,1.606695231999918e9,2,-1.2731700450486268e6,580285.7205480762,6.78833438602055e6,-2071.1010836891032,7298.738001836984,-1005.7943218680541,1,-1.2731880267823804e6,580171.104528792,6.788370567524148e6,126.31956209685114,121.52890943311776
14,1.606695231999918e9,2,-1.2731700450486268e6,580285.7205480762,6.78833438602055e6,-2071.1010836891032,7298.738001836984,-1005.7943218680541,3,-1.2733367111790252e6,580173.5416866968,6.78822842267892e6,225.58740504325777,227.13415800263357
14,1.606695231999918e9,2,-1.2731700450486268e6,580285.7205480762,6.78833438602055e6,-2071.1010836891032,7298.738001836984,-1005.7943218680541,4,-1.2733329895391765e6,580193.4020840671,6.78836404584255e6,187.84794641495415,189.61358294846957
15,1.606695291999918e9,2,-1.3927190321492215e6,1.0171904226513872e6,6.713443545183377e6,-1912.5056249209756,7259.340665786565,-1489.670421216285,1,-1.3927386241557375e6,1.0170697558322699e6,6.713484321167905e6,128.1266195528,128.8681840850951
15,1.606695291999918e9,2,-1.3927190321492215e6,1.0171904226513872e6,6.713443545183377e6,-1912.5056249209756,7259.340665786565,-1489.670421216285,3,-1.3928935088444632e6,1.0170738264942594e6,6.713328045052901e6,240.95653444481258,239.53509383695163
15,1.606695291999918e9,2,-1.3927190321492215e6,1.0171904226513872e6,6.713443545183377e6,-1912.5056249209756,7259.340665786565,-1489.670421216285,4,-1.3928905773131885e6,1.0170938487289844e6,6.713478278454825e6,200.03697744337157,199.90164059903816
16,1.606695351999918e9,2,-1.5025172437166537e6,1.4507586311575957e6,6.609702037274384e6,-1746.2373791049376,7187.549450199717,-1967.1422759093107,1,-1.5025384791836098e6,1.4506324907645157e6,6.609747553197185e6,137.91353046089495,135.77202602747698
16,1.606695351999918e9,2,-1.5025172437166537e6,1.4507586311575957e6,6.609702037274384e6,-1746.2373791049376,7187.549450199717,-1967.1422759093107,3,-1.5026985810988517e6,1.4506380007894903e6,6.609576324559897e6,250.58135583041775,251.4728980930495
16,1.606695351999918e9,2,-1.5025172437166537e6,1.4507586311575957e6,6.609702037274384e6,-1746.2373791049376,7187.549450199717,-1967.1422759093107,4,-1.5026968310786688e6,1.4506583878819288e6,6.609742365701244e6,211.0468404794602,209.5870151631655
17,1.606695411999918e9,2,-1.6021337880764697e6,1.8790531612443358e6,6.477555203290239e6,-1573.2834930945123,7083.603035770304,-2436.1786590736565,1,-1.602156681833319e6,1.878922157540712e6,6.477605529372059e6,140.24193709701916,142.19285839012588
17,1.606695411999918e9,2,-1.6021337880764697e6,1.8790531612443358e6,6.477555203290239e6,-1573.2834930945123,7083.603035770304,-2436.1786590736565,3,-1.6023209516905202e6,1.8789287809658148e6,6.477418518544868e6,261.47876524865046,263.0273592739455
